md,GR
5569.5,76.222
5570.000000000001,78.063
5570.5,78.222
5571.0,78.078
5571.5,79.004
5572.000000000001,81.526
5572.5,82.732
5573.0,80.881
5573.5,77.489
5574.000000000001,75.579
5574.5,73.668
5575.0,73.392
5575.5,73.946
5576.000000000001,74.858
5576.5,75.539
5577.0,75.542
5577.5,75.546
5578.000000000001,76.005
5578.5,77.112
5579.0,77.453
5579.5,73.89
5580.000000000001,68.28
5580.5,66.174
5581.0,67.239
5581.5,68.753
5582.000000000001,70.439
5582.5,71.167
5583.0,69.664
5583.5,68.394
5584.000000000001,68.626
5584.5,74.888
5585.0,79.38
5585.5,82.836
5586.000000000001,84.674
5586.5,84.81
5587.0,84.378
5587.5,83.221
5588.000000000001,81.42
5588.5,78.215
5589.0,78.149
5589.5,78.757
5590.000000000001,80.1
5590.5,75.814
5591.0,71.165
5591.5,72.423
5592.000000000001,76.189
5592.5,78.355
5593.0,73.04
5593.5,72.407
5594.000000000001,75.617
5594.5,79.002
5595.0,82.937
5595.5,84.607
5596.000000000001,82.841
5596.5,80.213
5597.0,77.296
5597.5,76.351
5598.000000000001,77.082
5598.5,78.23
5599.0,80.235
5599.5,81.745
5600.000000000001,82.888
5600.5,79.183
5601.0,79.773
5601.5,81.072
5602.000000000001,81.354
5602.5,80.761
5603.0,79.596
5603.5,77.783
5604.000000000001,76.722
5604.5,77.691
5605.0,79.057
5605.5,80.407
5606.000000000001,79.396
5606.5,77.49
5607.0,75.765
5607.5,73.752
5608.000000000001,71.697
5608.5,68.188
5609.0,68.124
5609.5,70.621
5610.000000000001,76.97
5610.5,77.16
5611.0,75.328
5611.5,71.757
5612.000000000001,69.207
5612.5,67.108
5613.0,65.009
5613.5,63.285
5614.000000000001,65.359
5614.5,67.432
5615.0,70.387
5615.5,72.766
5616.000000000001,79.386
5616.5,82.729
5617.0,83.263
5617.5,82.701
5618.000000000001,79.331
5618.5,74.922
5619.0,73.356
5619.5,73.182
5620.000000000001,74.119
5620.5,80.959
5621.0,80.933
5621.5,79.072
5622.000000000001,77.976
5622.5,79.882
5623.0,83.175
5623.5,86.114
5624.000000000001,86.774
5624.5,82.957
5625.0,81.224
5625.5,80.345
5626.000000000001,79.567
5626.5,78.07
5627.0,74.703
5627.5,72.061
5628.000000000001,70.69
5628.5,69.897
5629.0,69.811
5629.5,69.725
5630.000000000001,72.996
5630.5,76.472
5631.0,78.725
5631.5,80.255
5632.0,81.786
5632.5,87.09
5633.0,92.287
5633.5,92.364
5634.0,88.893
5634.5,83.891
5635.0,79.534
5635.5,78.839
5636.0,78.995
5636.5,80.152
5637.0,85.57
5637.5,87.343
5638.0,86.327
5638.5,81.456
5639.0,77.951
5639.5,77.296
5640.0,79.97
5640.5,81.105
5641.0,79.802
5641.5,78.682
5642.0,78.582
5642.5,83.487
5643.0,87.876
5643.5,88.199
5644.0,74.818
5644.5,65.237
5645.0,56.85
5645.5,43.961
5646.0,43.744
5646.5,46.546
5647.0,52.29
5647.5,64.589
5648.0,63.974
5648.5,60.964
5649.0,61.573
5649.5,64.943
5650.0,69.366
5650.5,72.59
5651.0,75.813
5651.5,80.679
5652.0,87.566
5652.5,84.365
5653.0,80.256
5653.5,73.376
5654.0,65.159
5654.5,59.7
5655.0,58.799
5655.5,60.838
5656.0,61.767
5656.5,60.58
5657.0,60.973
5657.5,61.407
5658.0,61.171
5658.5,59.942
5659.0,58.605
5659.5,55.567
5660.0,50.106
5660.5,44.645
5661.0,39.139
5661.5,33.175
5662.0,27.21
5662.5,21.245
5663.0,19.874
5663.5,20.192
5664.0,22.552
5664.5,26.766
5665.0,29.95
5665.5,36.332
5666.0,41.454
5666.5,47.256
5667.0,58.561
5667.5,58.517
5668.0,56.132
5668.5,53.926
5669.0,53.331
5669.5,56.282
5670.0,57.357
5670.5,56.505
5671.0,53.663
5671.5,53.345
5672.0,54.829
5672.5,59.464
5673.0,70.391
5673.5,78.802
5674.0,87.213
5674.5,88.749
5675.0,88.229
5675.5,87.073
5676.0,84.966
5676.5,82.86
5677.0,82.362
5677.5,85.994
5678.0,91.28
5678.5,88.264
5679.0,85.153
5679.5,84.307
5680.0,84.86
5680.5,90.651
5681.0,92.975
5681.5,88.672
5682.0,80.483
5682.5,72.294
5683.0,66.221
5683.5,65.108
5684.0,68.146
5684.5,74.657
5685.0,83.481
5685.5,89.937
5686.0,100.988
5686.5,105.126
5687.0,103.529
5687.5,99.953
5688.0,96.376
5688.5,92.8
5689.0,91.155
5689.5,90.596
5690.0,90.877
5690.5,94.611
5691.0,107.219
5691.5,105.083
5692.0,102.515
5692.5,97.257
5693.0,91.525
5693.5,86.117
5694.0,78.162
5694.5,72.657
5695.0,67.409
5695.5,66.32
5696.0,65.641
5696.5,64.7
5697.0,63.043
5697.5,60.226
5698.0,57.48
5698.5,55.287
5699.0,53.162
5699.5,51.294
5700.0,49.453
5700.5,50.033
5701.0,53.886
5701.5,57.739
5702.0,61.419
5702.5,61.149
5703.0,60.19
5703.5,58.67
5704.0,51.115
5704.5,44.938
5705.0,35.405
5705.5,28.202
5706.0,28.127
5706.5,31.324
5707.0,35.245
5707.5,42.927
5708.0,53.931
5708.5,60.81
5709.0,81.581
5709.5,89.388
5710.0,89.73
5710.5,83.59
5711.0,76.95
5711.5,74.697
5712.0,74.013
5712.5,73.828
5713.0,74.072
5713.5,74.541
5714.0,75.734
5714.5,77.198
5715.0,77.464
5715.5,76.327
5716.0,74.959
5716.5,73.087
5717.0,71.171
5717.5,69.951
5718.0,70.826
5718.5,76.766
5719.0,81.716
5719.5,90.384
5720.0,101.235
5720.5,101.386
5721.0,99.439
5721.5,90.484
5722.0,81.368
5722.5,77.454
5723.0,74.117
5723.5,70.779
5724.0,69.089
5724.5,69.55
5725.0,75.368
5725.5,83.265
5726.0,90.958
5726.5,91.084
5727.0,88.387
5727.5,85.11
5728.0,84.03
5728.5,83.7
5729.0,83.705
5729.5,83.893
5730.0,84.564
5730.5,86.745
5731.0,95.573
5731.5,95.961
5732.0,95.129
5732.5,91.488
5733.0,87.589
5733.5,83.69
5734.0,80.307
5734.5,75.57
5735.0,71.829
5735.5,69.985
5736.0,69.059
5736.5,65.05
5737.0,60.435
5737.5,57.615
5738.0,57.104
5738.5,58.172
5739.0,64.147
5739.5,70.881
5740.0,71.65
5740.5,58.976
5741.0,58.593
5741.5,59.315
5742.0,60.508
5742.5,62.597
5743.0,63.621
5743.5,63.78
5744.0,63.461
5744.5,62.578
5745.0,60.274
5745.5,57.904
5746.0,55.647
